date,rada_code,hromada_code
2020-08-16,7422780200,UA74100210000053397
2020-08-16,7422780500,UA74100210000053397
2020-08-16,7422781000,UA74100210000053397
2020-08-16,7422781500,UA74100210000053397
2020-08-16,7422782000,UA74100210000053397
2020-08-16,7422782500,UA74100210000053397
2020-08-16,7422783000,UA74100210000053397
2020-08-16,7422783500,UA74100210000053397
2020-08-16,7422784000,UA74100210000053397
2020-08-16,7422784500,UA74100210000053397
2020-08-16,7422785000,UA74100210000053397
2020-08-16,7422785500,UA74100210000053397
2020-08-16,7422786000,UA74100210000053397
2020-08-16,7422786500,UA74100210000053397
2020-08-16,7422787500,UA74100210000053397
2017-02-19,7422055100,UA74100190000086457
2017-02-19,7422080600,UA74100190000086457
2017-02-19,7422080900,UA74100190000086457
2017-02-19,7422081000,UA74100190000086457
2017-02-19,7422081500,UA74100190000086457
2017-02-19,7422081800,UA74100190000086457
2017-02-19,7422082400,UA74100190000086457
2017-02-19,7422085000,UA74100190000086457
2017-02-19,7422085100,UA74100190000086457
2017-02-19,7422086600,UA74100190000086457
2017-02-19,7422087100,UA74100190000086457
2017-02-19,7422087700,UA74100190000086457
2017-02-19,7422088200,UA74100190000086457
2017-02-19,7422088900,UA74100190000086457
2017-02-19,7422089100,UA74100190000086457
2020-08-16,7422055100,UA74100190000086457
2020-08-16,7422080200,UA74100190000086457
2020-08-16,7422080600,UA74100190000086457
2020-08-16,7422080900,UA74100190000086457
2020-08-16,7422081000,UA74100190000086457
2020-08-16,7422081500,UA74100190000086457
2020-08-16,7422081800,UA74100190000086457
2020-08-16,7422082400,UA74100190000086457
2020-08-16,7422085000,UA74100190000086457
2020-08-16,7422085100,UA74100190000086457
2020-08-16,7422086200,UA74100190000086457
2020-08-16,7422086600,UA74100190000086457
2020-08-16,7422087100,UA74100190000086457
2020-08-16,7422087700,UA74100190000086457
2020-08-16,7422088000,UA74100190000086457
2020-08-16,7422088200,UA74100190000086457
2020-08-16,7422088700,UA74100190000086457
2020-08-16,7422088900,UA74100190000086457
2020-08-16,7422089100,UA74100190000086457
2020-08-16,7422089300,UA74100190000086457
