Регіон,Ройон/Місто обласного значення,Місцева рада,КОАТУУ,Громада,Код громади,Примітка
Автономна Республіка Крим,м.Сімферополь,Сімферопольська міська рада,110100000,NA,NA,
Автономна Республіка Крим,м.Сімферополь,"Гресівська селищна рада, (Залізничний район, м Сімферополь)",110165600,NA,NA,
Автономна Республіка Крим,м.Алушта,Алуштинська міська рада,110300000,NA,NA,
Автономна Республіка Крим,м.Алушта,"Партенітська селищна рада, (м Алушта)",110345400,NA,NA,
Автономна Республіка Крим,м.Алушта,"Ізобільненська сільська рада, (м Алушта)",110390900,NA,NA,
Автономна Республіка Крим,м.Алушта,"Лучистівська сільська рада, (м Алушта)",110391400,NA,NA,
Автономна Республіка Крим,м.Алушта,"Маломаяцька сільська рада, (м Алушта)",110391800,NA,NA,
Автономна Республіка Крим,м.Алушта,"Малоріченська сільська рада, (м Алушта)",110392100,NA,NA,
Автономна Республіка Крим,м.Алушта,"Привітненська сільська рада, (м Алушта)",110393000,NA,NA,
Автономна Республіка Крим,м.Джанкой,Джанкойська міська рада,110600000,NA,NA,
Автономна Республіка Крим,м.Євпаторія,Євпаторійська міська рада,110900000,NA,NA,
Автономна Республіка Крим,м.Євпаторія,"Заозерненська селищна рада, (м Євпаторія)",110945300,NA,NA,
Автономна Республіка Крим,м.Євпаторія,"Мирнівська селищна рада, (м Євпаторія)",110945600,NA,NA,
Автономна Республіка Крим,м.Євпаторія,"Новоозернівська селищна рада, (м Євпаторія)",110945800,NA,NA,
Автономна Республіка Крим,м.Керч,Керченська міська рада,111200000,NA,NA,
Автономна Республіка Крим,м.Красноперекопськ,Красноперекопська міська рада,111300000,NA,NA,
Автономна Республіка Крим,м.Саки,Сакська міська рада,111400000,NA,NA,
Автономна Республіка Крим,м.Армянськ,Армянська міська рада,111500000,NA,NA,
Автономна Республіка Крим,м.Армянськ,"Суворовська сільська рада, (м Армянськ)",111590100,NA,NA,
Автономна Республіка Крим,м.Феодосія,Феодосійська міська рада,111600000,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Орджонікідзевська селищна рада, (м Феодосія)",111645400,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Коктебельська селищна рада, (м Феодосія)",111645700,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Приморська селищна рада, (м Феодосія)",111646000,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Щебетовська селищна рада, (м Феодосія)",111646500,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Берегова сільська рада, (м Феодосія)",111690300,NA,NA,
Автономна Республіка Крим,м.Феодосія,"Насипнівська сільська рада, (м Феодосія)",111692900,NA,NA,
Автономна Республіка Крим,м.Судак,Судацька міська рада,111700000,NA,NA,
Автономна Республіка Крим,м.Судак,"Новосвітська селищна рада, (м Судак)",111745200,NA,NA,
Автономна Республіка Крим,м.Судак,"Веселівська сільська рада, (м Судак)",111790200,NA,NA,
Автономна Республіка Крим,м.Судак,"Грушівська сільська рада, (м Судак",111790400,NA,NA,
Автономна Республіка Крим,м.Судак,"Дачнівська сільська рада, (м Судак)",111790700,NA,NA,
Автономна Республіка Крим,м.Судак,"Міжріченська сільська рада, (м Судак)",111791400,NA,NA,
Автономна Республіка Крим,м.Судак,"Морська сільська рада, (м Судак)",111791600,NA,NA,
Автономна Республіка Крим,м.Судак,"Сонячнодолинська сільська рада, (м Судак)",111792300,NA,NA,
Автономна Республіка Крим,м.Ялта,Ялтинська міська рада,111900000,NA,NA,
Автономна Республіка Крим,м.Ялта,"Гаспринська селищна рада, (м Ялта)",111946200,NA,NA,
Автономна Республіка Крим,м.Ялта,"Гурзуфська селищна рада, (м Ялта)",111946800,NA,NA,
Автономна Республіка Крим,м.Ялта,"Кореїзька селищна рада, (м Ялта)",111947100,NA,NA,
Автономна Республіка Крим,м.Ялта,"Лівадійська селищна рада, (м Ялта)",111947900,NA,NA,
Автономна Республіка Крим,м.Ялта,"Масандрівська селищна рада, (м Ялта)",111948100,NA,NA,
Автономна Республіка Крим,м.Ялта,"Сімеїзька селищна рада, (м Ялта)",111949300,NA,NA,
Автономна Республіка Крим,м.Ялта,"Фороська селищна рада, (м Ялта)",111949700,NA,NA,
Автономна Республіка Крим,м.Ялта,"Алупкинська міська рада, (м Ялта)",111970200,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Бахчисарайська міська рада,120410100,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Куйбишевська селищна рада,120455300,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Поштівська селищна рада,120455600,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Ароматненська сільська рада,120480400,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Верхоріченська сільська рада,120480800,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Вілінська сільська рада,120481300,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Голубинська сільська рада,120481900,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Долинненська сільська рада,120482200,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Залізничненська сільська рада,120482500,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Зеленівська сільська рада,120482900,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Каштанівська сільська рада,120483600,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Красномацька сільська рада,120483900,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Піщанівська сільська рада,120484400,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Плодівська сільська рада,120484600,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Скалистівська сільська рада,120485000,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Табачненська сільська рада,120485500,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Тінистівська сільська рада,120486200,NA,NA,
Автономна Республіка Крим,Бахчисарайський район,Углівська сільська рада,120488400,NA,NA,
Автономна Республіка Крим,Білогірський район,Білогірська міська рада,120710100,NA,NA,
Автономна Республіка Крим,Білогірський район,Зуйська селищна рада,120755300,NA,NA,
Автономна Республіка Крим,Білогірський район,Ароматнівська сільська рада,120780400,NA,NA,
Автономна Республіка Крим,Білогірський район,Багатівська сільська рада,120780800,NA,NA,
Автономна Республіка Крим,Білогірський район,Василівська сільська рада,120781300,NA,NA,
Автономна Республіка Крим,Білогірський район,Вишенська сільська рада,120781900,NA,NA,
Автономна Республіка Крим,Білогірський район,Зеленогірська сільська рада,120782500,NA,NA,
Автономна Республіка Крим,Білогірський район,Земляничненська сільська рада,120782700,NA,NA,
Автономна Республіка Крим,Білогірський район,Зибинська сільська рада,120782900,NA,NA,
Автономна Республіка Крим,Білогірський район,Криничненська сільська рада,120783400,NA,NA,
Автономна Республіка Крим,Білогірський район,Кримськорозівська сільська рада,120783600,NA,NA,
Автономна Республіка Крим,Білогірський район,Курська сільська рада,120783800,NA,NA,
Автономна Республіка Крим,Білогірський район,Мельнична сільська рада,120784200,NA,NA,
Автономна Республіка Крим,Білогірський район,Мічурінська сільська рада,120784600,NA,NA,
Автономна Республіка Крим,Білогірський район,Муромська сільська рада,120785000,NA,NA,
Автономна Республіка Крим,Білогірський район,Новожилівська сільська рада,120785800,NA,NA,
Автономна Республіка Крим,Білогірський район,Русаківська сільська рада,120786300,NA,NA,
Автономна Республіка Крим,Білогірський район,Цвіточненська сільська рада,120788400,NA,NA,
Автономна Республіка Крим,Білогірський район,Чорнопільська сільська рада,120788800,NA,NA,
Автономна Республіка Крим,Джанкойський район,Азовська селищна рада,121155200,NA,NA,
Автономна Республіка Крим,Джанкойський район,Вільненська селищна рада,121155400,NA,NA,
Автономна Республіка Крим,Джанкойський район,Єрмаківська сільська рада,121180600,NA,NA,
Автономна Республіка Крим,Джанкойський район,Завіто-Ленінська сільська рада,121180800,NA,NA,
Автономна Республіка Крим,Джанкойський район,Зарічненська сільська рада,121181300,NA,NA,
Автономна Республіка Крим,Джанкойський район,Ізумруднівська сільська рада,121181500,NA,NA,
Автономна Республіка Крим,Джанкойський район,Кіндратівська сільська рада,121181700,NA,NA,
Автономна Республіка Крим,Джанкойський район,Кримківська сільська рада,121181800,NA,NA,
Автономна Республіка Крим,Джанкойський район,Лобанівська сільська рада,121181900,NA,NA,
Автономна Республіка Крим,Джанкойський район,Луганська сільська рада,121182300,NA,NA,
Автономна Республіка Крим,Джанкойський район,Майська сільська рада,121182500,NA,NA,
Автономна Республіка Крим,Джанкойський район,Маслівська сільська рада,121182900,NA,NA,
Автономна Республіка Крим,Джанкойський район,Медведівська сільська рада,121183400,NA,NA,
Автономна Республіка Крим,Джанкойський район,Мирнівська сільська рада,121183600,NA,NA,
Автономна Республіка Крим,Джанкойський район,Новокримська сільська рада,121183800,NA,NA,
Автономна Республіка Крим,Джанкойський район,Пахарівська сільська рада,121184000,NA,NA,
Автономна Республіка Крим,Джанкойський район,Побєдненська сільська рада,121184100,NA,NA,
Автономна Республіка Крим,Джанкойський район,Просторненська сільська рада,121184200,NA,NA,
Автономна Республіка Крим,Джанкойський район,Розкішненська сільська рада,121185500,NA,NA,
Автономна Республіка Крим,Джанкойський район,Рощинська сільська рада,121185600,NA,NA,
Автономна Республіка Крим,Джанкойський район,Світлівська сільська рада,121185800,NA,NA,
Автономна Республіка Крим,Джанкойський район,Стальненська сільська рада,121186000,NA,NA,
Автономна Республіка Крим,Джанкойський район,Табачненська сільська рада,121186200,NA,NA,
Автономна Республіка Крим,Джанкойський район,Цілинна сільська рада,121187200,NA,NA,
Автономна Республіка Крим,Джанкойський район,Чайкинська сільська рада,121187500,NA,NA,
Автономна Республіка Крим,Джанкойський район,Ярківська сільська рада,121188200,NA,NA,
Автономна Республіка Крим,Джанкойський район,Яркополенська сільська рада,121188400,NA,NA,
Автономна Республіка Крим,Джанкойський район,Яснополянська сільська рада,121188600,NA,NA,
Автономна Республіка Крим,Кіровський район,Старокримська міська рада,121610400,NA,NA,
Автономна Республіка Крим,Кіровський район,Кіровська селищна рада,121655100,NA,NA,
Автономна Республіка Крим,Кіровський район,Абрикосівська сільська рада,121680100,NA,NA,
Автономна Республіка Крим,Кіровський район,Владиславівська сільська рада,121680800,NA,NA,
Автономна Республіка Крим,Кіровський район,Журавська сільська рада,121681800,NA,NA,
Автономна Республіка Крим,Кіровський район,Золотополенська сільська рада,121682200,NA,NA,
Автономна Республіка Крим,Кіровський район,Льговська сільська рада,121682600,NA,NA,
Автономна Республіка Крим,Кіровський район,Партизанська сільська рада,121682800,NA,NA,
Автономна Республіка Крим,Кіровський район,Первомайська сільська рада,121683000,NA,NA,
Автономна Республіка Крим,Кіровський район,Привітненська сільська рада,121683400,NA,NA,
Автономна Республіка Крим,Кіровський район,Синицинська сільська рада,121683900,NA,NA,
Автономна Республіка Крим,Кіровський район,Токарєвська сільська рада,121684600,NA,NA,
Автономна Республіка Крим,Кіровський район,Яркополенська сільська рада,121686100,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Красногвардійська селищна рада,122055100,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Октябрська селищна рада,122055400,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Олександрівська сільська рада,122080300,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Амурська сільська рада,122080600,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Восходненська сільська рада,122080800,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Зернівська сільська рада,122081000,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Калінінська сільська рада,122081400,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Клепинінська сільська рада,122081800,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Колодязянська сільська рада,122082200,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Котельниківська сільська рада,122082400,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Краснознам'янська сільська рада,122082600,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Ленінська сільська рада,122082900,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Мар'янівська сільська рада,122083600,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Найдьонівська сільська рада,122084000,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Новопокровська сільська рада,122084400,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Петрівська сільська рада,122084800,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Полтавська сільська рада,122085300,NA,NA,
Автономна Республіка Крим,Красногвардійський район,П'ятихатська сільська рада,122085600,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Рівнівська сільська рада,122086500,NA,NA,
Автономна Республіка Крим,Красногвардійський район,Янтарненська сільська рада,122088700,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Братська сільська рада,122380400,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Вишнівська сільська рада,122380800,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Воїнська сільська рада,122381300,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Іллінська сільська рада,122381800,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Ішунська сільська рада,122382200,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Красноармійська сільська рада,122382400,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Магазинська сільська рада,122382600,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Новопавлівська сільська рада,122383000,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Орлівська сільська рада,122383700,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Почетненська сільська рада,122384800,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Совхозненська сільська рада,122385900,NA,NA,
Автономна Республіка Крим,Красноперекопський район,Філатівська сільська рада,122387000,NA,NA,
Автономна Республіка Крим,Ленінський район,Щолкінська міська рада,122710500,NA,NA,
Автономна Республіка Крим,Ленінський район,Ленінська селищна рада,122755100,NA,NA,
Автономна Республіка Крим,Ленінський район,Багерівська селищна рада,122755300,NA,NA,
Автономна Республіка Крим,Ленінський район,Останінська сільська рада,122780400,NA,NA,
Автономна Республіка Крим,Ленінський район,Батальненська сільська рада,122780800,NA,NA,
Автономна Республіка Крим,Ленінський район,Бєлінська сільська рада,122781200,NA,NA,
Автономна Республіка Крим,Ленінський район,Виноградненська сільська рада,122781300,NA,NA,
Автономна Республіка Крим,Ленінський район,Войковська сільська рада,122781600,NA,NA,
Автономна Республіка Крим,Ленінський район,Глазівська сільська рада,122782000,NA,NA,
Автономна Республіка Крим,Ленінський район,Горностаївська сільська рада,122782400,NA,NA,
Автономна Республіка Крим,Ленінський район,Завітненська сільська рада,122782800,NA,NA,
Автономна Республіка Крим,Ленінський район,Іллічівська сільська рада,122783200,NA,NA,
Автономна Республіка Крим,Ленінський район,Калинівська сільська рада,122783600,NA,NA,
Автономна Республіка Крим,Ленінський район,Кіровська сільська рада,122783700,NA,NA,
Автономна Республіка Крим,Ленінський район,Красногірська сільська рада,122783900,NA,NA,
Автономна Республіка Крим,Ленінський район,Ленінська сільська рада,122784600,NA,NA,
Автономна Республіка Крим,Ленінський район,Лугівська сільська рада,122784800,NA,NA,
Автономна Республіка Крим,Ленінський район,Марфівська сільська рада,122785100,NA,NA,
Автономна Республіка Крим,Ленінський район,Мар'ївська сільська рада,122785400,NA,NA,
Автономна Республіка Крим,Ленінський район,Мисівська сільська рада,122785800,NA,NA,
Автономна Республіка Крим,Ленінський район,Новомиколаївська сільська рада,122786100,NA,NA,
Автономна Республіка Крим,Ленінський район,Октябрська сільська рада,122786200,NA,NA,
Автономна Республіка Крим,Ленінський район,Приозернівська сільська рада,122786400,NA,NA,
Автономна Республіка Крим,Ленінський район,Семисотська сільська рада,122787500,NA,NA,
Автономна Республіка Крим,Ленінський район,Уварівська сільська рада,122788000,NA,NA,
Автономна Республіка Крим,Ленінський район,Челядінівська сільська рада,122788400,NA,NA,
Автономна Республіка Крим,Ленінський район,Чистопільська сільська рада,122788600,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Нижньогірська селищна рада,123155100,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Якимівська сільська рада,123180400,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Дрофинська сільська рада,123180600,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Омелянівська сільська рада,123180800,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Желябовська сільська рада,123181200,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Жемчужинська сільська рада,123181500,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Зоркінська сільська рада,123182000,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Іванівська сільська рада,123182200,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Ізобільненська сільська рада,123182400,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Кісточківська сільська рада,123182600,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Листвинська сільська рада,123182800,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Митрофанівська сільська рада,123183000,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Михайлівська сільська рада,123183400,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Новогригорівська сільська рада,123184600,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Охотська сільська рада,123185000,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Пшеничненська сільська рада,123185200,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Садова сільська рада,123186100,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Уварівська сільська рада,123187200,NA,NA,
Автономна Республіка Крим,Нижньогірський район,Чкаловська сільська рада,123187400,NA,NA,
Автономна Республіка Крим,Первомайський район,Первомайська селищна рада,123555100,NA,NA,
Автономна Республіка Крим,Первомайський район,Олексіївська сільська рада,123580100,NA,NA,
Автономна Республіка Крим,Первомайський район,Абрикосівська сільська рада,123580200,NA,NA,
Автономна Республіка Крим,Первомайський район,Войковська сільська рада,123580400,NA,NA,
Автономна Республіка Крим,Первомайський район,Гвардійська сільська рада,123580800,NA,NA,
Автономна Республіка Крим,Первомайський район,Гришинська сільська рада,123581300,NA,NA,
Автономна Республіка Крим,Первомайський район,Калінінська сільська рада,123581900,NA,NA,
Автономна Республіка Крим,Первомайський район,Кормівська сільська рада,123582500,NA,NA,
Автономна Республіка Крим,Первомайський район,Крестянівська сільська рада,123583600,NA,NA,
Автономна Республіка Крим,Первомайський район,Октябрська сільська рада,123584700,NA,NA,
Автономна Республіка Крим,Первомайський район,Островська сільська рада,123585200,NA,NA,
Автономна Республіка Крим,Первомайський район,Правдівська сільська рада,123585900,NA,NA,
Автономна Республіка Крим,Первомайський район,Стахановська сільська рада,123586300,NA,NA,
Автономна Республіка Крим,Первомайський район,Степнівська сільська рада,123586500,NA,NA,
Автономна Республіка Крим,Первомайський район,Сусанінська сільська рада,123586600,NA,NA,
Автономна Республіка Крим,Первомайський район,Сарибаська сільська рада,123586900,NA,NA,
Автономна Республіка Крим,Первомайський район,Черновська сільська рада,123587400,NA,NA,
Автономна Республіка Крим,Роздольненський район,Роздольненська селищна рада,123955100,NA,NA,
Автономна Республіка Крим,Роздольненський район,Новоселівська селищна рада,123955400,NA,NA,
Автономна Республіка Крим,Роздольненський район,Березівська сільська рада,123981100,NA,NA,
Автономна Республіка Крим,Роздольненський район,Ботанічна сільська рада,123982200,NA,NA,
Автономна Республіка Крим,Роздольненський район,Зиминська сільська рада,123983300,NA,NA,
Автономна Республіка Крим,Роздольненський район,Ковильнівська сільська рада,123985400,NA,NA,
Автономна Республіка Крим,Роздольненський район,Кукушкінська сільська рада,123985600,NA,NA,
Автономна Республіка Крим,Роздольненський район,Руч'ївська сільська рада,123985900,NA,NA,
Автономна Республіка Крим,Роздольненський район,Серебрянська сільська рада,123986400,NA,NA,
Автономна Республіка Крим,Роздольненський район,Славнівська сільська рада,123986600,NA,NA,
Автономна Республіка Крим,Роздольненський район,Слов'янська сільська рада,123987400,NA,NA,
Автономна Республіка Крим,Роздольненський район,Чернишівська сільська рада,123988000,NA,NA,
Автономна Республіка Крим,Сакський район,Новофедорівська селищна рада,124355500,NA,NA,
Автономна Республіка Крим,Сакський район,Вересаєвська сільська рада,124380400,NA,NA,
Автономна Республіка Крим,Сакський район,Веселівська сільська рада,124380600,NA,NA,
Автономна Республіка Крим,Сакський район,Виноградівська сільська рада,124380800,NA,NA,
Автономна Республіка Крим,Сакський район,Воробйовська сільська рада,124381300,NA,NA,
Автономна Республіка Крим,Сакський район,Геройська сільська рада,124381600,NA,NA,
Автономна Республіка Крим,Сакський район,Добрушинська сільська рада,124381800,NA,NA,
Автономна Республіка Крим,Сакський район,Зернівська сільська рада,124382000,NA,NA,
Автономна Республіка Крим,Сакський район,Іванівська сільська рада,124382200,NA,NA,
Автономна Республіка Крим,Сакський район,Кольцовська сільська рада,124382600,NA,NA,
Автономна Республіка Крим,Сакський район,Крайненська сільська рада,124383000,NA,NA,
Автономна Республіка Крим,Сакський район,Кримська сільська рада,124383400,NA,NA,
Автономна Республіка Крим,Сакський район,Ліснівська сільська рада,124383900,NA,NA,
Автономна Республіка Крим,Сакський район,Митяївська сільська рада,124384400,NA,NA,
Автономна Республіка Крим,Сакський район,Молочненська сільська рада,124384700,NA,NA,
Автономна Республіка Крим,Сакський район,Оріхівська сільська рада,124385200,NA,NA,
Автономна Республіка Крим,Сакський район,Охотниківська сільська рада,124385600,NA,NA,
Автономна Республіка Крим,Сакський район,Ромашкінська сільська рада,124386000,NA,NA,
Автономна Республіка Крим,Сакський район,Сизівська сільська рада,124386500,NA,NA,
Автономна Республіка Крим,Сакський район,Стовпівська сільська рада,124386800,NA,NA,
Автономна Республіка Крим,Сакський район,Суворовська сільська рада,124387000,NA,NA,
Автономна Республіка Крим,Сакський район,Уютненська сільська рада,124387700,NA,NA,
Автономна Республіка Крим,Сакський район,Фрунзенська сільська рада,124388000,NA,NA,
Автономна Республіка Крим,Сакський район,Штормівська сільська рада,124388800,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Гвардійська селищна рада,124755300,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Молодіжненська селищна рада,124755600,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Миколаївська селищна рада,124755800,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Добрівська сільська рада,124781300,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Донська сільська рада,124781900,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Журавлівська сільська рада,124782200,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Кольчугинська сільська рада,124782900,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Мазанська сільська рада,124783300,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Мирнівська сільська рада,124783800,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Новоандріївська сільська рада,124784600,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Новоселівська сільська рада,124784800,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Первомайська сільська рада,124785000,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Перовська сільська рада,124785400,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Пожарська сільська рада,124785600,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Родниківська сільська рада,124785800,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Скворцівська сільська рада,124786400,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Трудівська сільська рада,124787000,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Укромнівська сільська рада,124787500,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Урожайнівська сільська рада,124788000,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Чистенська сільська рада,124788700,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Широківська сільська рада,124789000,NA,NA,
Автономна Республіка Крим,Сімферопольський район,Шкільненська селищна рада,124789300,NA,NA,
Автономна Республіка Крим,Совєтський район,Совєтська селищна рада,125255100,NA,NA,
Автономна Республіка Крим,Совєтський район,Дмитрівська сільська рада,125280800,NA,NA,
Автономна Республіка Крим,Совєтський район,Завітненська сільська рада,125281100,NA,NA,
Автономна Республіка Крим,Совєтський район,Іллічівська сільська рада,125282200,NA,NA,
Автономна Республіка Крим,Совєтський район,Красногвардійська сільська рада,125283300,NA,NA,
Автономна Республіка Крим,Совєтський район,Краснофлотська сільська рада,125283900,NA,NA,
Автономна Республіка Крим,Совєтський район,Некрасовська сільська рада,125285500,NA,NA,
Автономна Республіка Крим,Совєтський район,Прудівська сільська рада,125286600,NA,NA,
Автономна Республіка Крим,Совєтський район,Пушкінська сільська рада,125286800,NA,NA,
Автономна Республіка Крим,Совєтський район,Урожайнівська сільська рада,125287700,NA,NA,
Автономна Республіка Крим,Совєтський район,Чапаєвська сільська рада,125288200,NA,NA,
Автономна Республіка Крим,Совєтський район,Чорноземненська сільська рада,125288600,NA,NA,
Автономна Республіка Крим,Чорноморський район,Чорноморська селищна рада,125655100,NA,NA,
Автономна Республіка Крим,Чорноморський район,Далеківська сільська рада,125681100,NA,NA,
Автономна Республіка Крим,Чорноморський район,Кіровська сільська рада,125682200,NA,NA,
Автономна Республіка Крим,Чорноморський район,Краснополянська сільська рада,125683300,NA,NA,
Автономна Республіка Крим,Чорноморський район,Красноярська сільська рада,125683500,NA,NA,
Автономна Республіка Крим,Чорноморський район,Медведівська сільська рада,125684400,NA,NA,
Автономна Республіка Крим,Чорноморський район,Міжводненська сільська рада,125684800,NA,NA,
Автономна Республіка Крим,Чорноморський район,Новоіванівська сільська рада,125685600,NA,NA,
