Перший рівень,Другий рівень,Третій рівень,Четвертий рівень,Категорія ,Назва об'єкта українською мовою
0100000000,,,,,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ
0100000000,0110000000,,,,МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ
0100000000,0110100000,,,,СІМФЕРОПОЛЬ
0100000000,0110100000,0110130000,,,РАЙОНИ М.СІМФЕРОПОЛЯ
0100000000,0110100000,0110136300,,Р,ЗАЛІЗНИЧНИЙ
0100000000,0110100000,0110136600,,Р,КИЇВСЬКИЙ
0100000000,0110100000,0110136900,,Р,ЦЕНТРАЛЬНИЙ
0100000000,0110100000,0110165000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0100000000,0110100000,0110165300,,Т,АЕРОФЛОТСЬКИЙ
0100000000,0110100000,0110165600,,Т,ГРЕСІВСЬКИЙ
0100000000,0110100000,0110165600,0110165601,Щ,БІТУМНЕ
0100000000,0110100000,0110165800,,Т,КОМСОМОЛЬСЬКЕ
0100000000,0110100000,0110166000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ"
0100000000,0110100000,0110166200,,Т,АГРАРНЕ
0100000000,0110300000,,,М,АЛУШТА
0100000000,0110300000,0110345000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0100000000,0110300000,0110345400,,Т,ПАРТЕНІТ
0100000000,0110300000,0110390000,,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ"
0100000000,0110300000,0110390900,,,ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ
0100000000,0110300000,0110390900,0110390901,С,ІЗОБІЛЬНЕ
0100000000,0110300000,0110390900,0110390903,С,ВЕРХНЯ КУТУЗОВКА
0100000000,0110300000,0110390900,0110390905,С,НИЖНЯ КУТУЗОВКА
0100000000,0110300000,0110390900,0110390907,Щ,РОЗОВИЙ
0100000000,0110300000,0110391400,,,ЛУЧИСТІВСЬКА/С.ЛУЧИСТЕ
0100000000,0110300000,0110391400,0110391401,С,ЛУЧИСТЕ
0100000000,0110300000,0110391400,0110391403,Щ,ЛАВАНДА
0100000000,0110300000,0110391400,0110391405,Щ,СЕМИДВІР'Я
0100000000,0110300000,0110391800,,,МАЛОМАЯЦЬКА/С.МАЛИЙ МАЯК
0100000000,0110300000,0110391800,0110391801,С,МАЛИЙ МАЯК
0100000000,0110300000,0110391800,0110391802,Щ,БОНДАРЕНКОВЕ
0100000000,0110300000,0110391800,0110391803,С,ВИНОГРАДНИЙ
0100000000,0110300000,0110391800,0110391805,С,ЗАПРУДНЕ
0100000000,0110300000,0110391800,0110391807,С,КИПАРИСНЕ
0100000000,0110300000,0110391800,0110391809,С,ЛАВРОВЕ
0100000000,0110300000,0110391800,0110391811,С,ЛАЗУРНЕ
0100000000,0110300000,0110391800,0110391813,С,НИЖНЄ ЗАПРУДНЕ
0100000000,0110300000,0110391800,0110391815,С,ПУШКІНЕ
0100000000,0110300000,0110391800,0110391817,Щ,УТЬОС
0100000000,0110300000,0110391800,0110391818,Щ,ЧАЙКА
0100000000,0110300000,0110392100,,,МАЛОРІЧЕНСЬКА/С.МАЛОРІЧЕНСЬКЕ
0100000000,0110300000,0110392100,0110392101,С,МАЛОРІЧЕНСЬКЕ
0100000000,0110300000,0110392100,0110392103,С,ГЕНЕРАЛЬСЬКЕ
0100000000,0110300000,0110392100,0110392105,С,РИБАЧЕ
0100000000,0110300000,0110392100,0110392107,С,СОНЯЧНОГІРСЬКЕ
0100000000,0110300000,0110393000,,,ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ
0100000000,0110300000,0110393000,0110393001,С,ПРИВІТНЕ
0100000000,0110300000,0110393000,0110393002,С,ЗЕЛЕНОГІР'Я
0100000000,0110600000,,,М,ДЖАНКОЙ
0100000000,0110900000,,,М,ЄВПАТОРІЯ
0100000000,0110900000,0110945000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЄВПАТОРІЙСЬКІЙ МІСЬКРАДІ"
0100000000,0110900000,0110945300,,Т,ЗАОЗЕРНЕ
0100000000,0110900000,0110945600,,Т,МИРНИЙ
0100000000,0110900000,0110945800,,Т,НОВООЗЕРНЕ
0100000000,0111200000,,,М,КЕРЧ
0100000000,0111300000,,,М,КРАСНОПЕРЕКОПСЬК
0100000000,0111400000,,,М,САКИ
0100000000,0111500000,,,М,АРМЯНСЬК
0100000000,0111500000,0111590000,,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АРМЯНСЬКІЙ МІСЬКРАДІ"
0100000000,0111500000,0111590100,,,СУВОРОВСЬКА/С.СУВОРОВЕ
0100000000,0111500000,0111590100,0111590101,С,СУВОРОВЕ
0100000000,0111500000,0111590100,0111590102,С,ВОЛОШИНЕ
0100000000,0111500000,0111590100,0111590103,С,ПЕРЕКОП
0100000000,0111600000,,,М,ФЕОДОСІЯ
0100000000,0111600000,0111645000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ"
0100000000,0111600000,0111645200,,Т,КУРОРТНЕ
0100000000,0111600000,0111645400,,Т,ОРДЖОНІКІДЗЕ
0100000000,0111600000,0111645700,,Т,КОКТЕБЕЛЬ
0100000000,0111600000,0111645700,0111645701,С,НАНІКОВЕ
0100000000,0111600000,0111646000,,Т,ПРИМОРСЬКИЙ
0100000000,0111600000,0111646500,,Т,ЩЕБЕТОВКА
0100000000,0111600000,0111646500,0111646501,С,КРАСНОКАМ'ЯНКА
0100000000,0111600000,0111690000,,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ"
0100000000,0111600000,0111690300,,,БЕРЕГОВА/С.БЕРЕГОВЕ
0100000000,0111600000,0111690300,0111690301,С,БЕРЕГОВЕ
0100000000,0111600000,0111690300,0111690303,С,СТЕПОВЕ
0100000000,0111600000,0111692900,,,НАСИПНІВСЬКА/С.НАСИПНЕ
0100000000,0111600000,0111692900,0111692901,С,НАСИПНЕ
0100000000,0111600000,0111692900,0111692903,С,БЛИЖНЄ
0100000000,0111600000,0111692900,0111692905,С,ВИНОГРАДНЕ
0100000000,0111600000,0111692900,0111692907,С,ПІДГІРНЕ
0100000000,0111600000,0111692900,0111692909,С,ПІОНЕРСЬКЕ
0100000000,0111600000,0111692900,0111692911,С,СОНЯЧНЕ
0100000000,0111600000,0111692900,0111692913,С,ЮЖНЕ
0100000000,0111700000,,,М,СУДАК
0100000000,0111700000,0111745000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ"
0100000000,0111700000,0111745200,,Т,НОВИЙ СВІТ
0100000000,0111700000,0111790000,,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ СУДАЦЬКІЙ МІСЬКРАДІ"
0100000000,0111700000,0111790200,,,ВЕСЕЛІВСЬКА/С.ВЕСЕЛЕ
0100000000,0111700000,0111790200,0111790201,С,ВЕСЕЛЕ
0100000000,0111700000,0111790400,,,ГРУШІВСЬКА/С.ГРУШІВКА
0100000000,0111700000,0111790400,0111790401,С,ГРУШІВКА
0100000000,0111700000,0111790400,0111790402,С,ПЕРЕВАЛІВКА
0100000000,0111700000,0111790400,0111790403,С,ХОЛОДІВКА
0100000000,0111700000,0111790700,,,ДАЧНІВСЬКА/С.ДАЧНЕ
0100000000,0111700000,0111790700,0111790701,С,ДАЧНЕ
0100000000,0111700000,0111790700,0111790702,С,ЛІСНЕ
0100000000,0111700000,0111791400,,,МІЖРІЧЕНСЬКА/С.МІЖРІЧЧЯ
0100000000,0111700000,0111791400,0111791401,С,МІЖРІЧЧЯ
0100000000,0111700000,0111791400,0111791402,С,ВОРОН
0100000000,0111700000,0111791600,,,МОРСЬКА/С.МОРСЬКЕ
0100000000,0111700000,0111791600,0111791601,С,МОРСЬКЕ
0100000000,0111700000,0111791600,0111791602,С,ГРОМІВКА
0100000000,0111700000,0111792300,,,СОНЯЧНОДОЛИНСЬКА/С.СОНЯЧНА ДОЛИНА
0100000000,0111700000,0111792300,0111792301,С,СОНЯЧНА ДОЛИНА
0100000000,0111700000,0111792300,0111792302,С,БАГАТІВКА
0100000000,0111700000,0111792300,0111792303,С,МИНДАЛЬНЕ
0100000000,0111700000,0111792300,0111792304,С,ПРИБЕРЕЖНЕ
0100000000,0111900000,,,М,ЯЛТА
0100000000,0111900000,0111945000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ"
0100000000,0111900000,0111945200,,Т,БЕРЕГОВЕ
0100000000,0111900000,0111945400,,Т,НІКІТА
0100000000,0111900000,0111945600,,Т,ВИНОГРАДНЕ
0100000000,0111900000,0111945900,,Т,ВОСХОД
0100000000,0111900000,0111946200,,Т,ГАСПРА
0100000000,0111900000,0111946500,,Т,ГОЛУБА ЗАТОКА
0100000000,0111900000,0111946800,,Т,ГУРЗУФ
0100000000,0111900000,0111946800,0111946801,Щ,ДАНИЛІВКА
0100000000,0111900000,0111946800,0111946803,Щ,ЛІНІЙНЕ
0100000000,0111900000,0111946800,0111946805,Щ,ПАРТИЗАНСЬКЕ
0100000000,0111900000,0111947000,,Т,КАЦІВЕЛІ
0100000000,0111900000,0111947100,,Т,КОРЕЇЗ
0100000000,0111900000,0111947400,,Т,КРАСНОКАМ'ЯНКА
0100000000,0111900000,0111947700,,Т,КУРПАТИ
0100000000,0111900000,0111947900,,Т,ЛІВАДІЯ
0100000000,0111900000,0111947900,0111947901,Щ,ВИСОКОГІРНЕ
0100000000,0111900000,0111947900,0111947903,Щ,ГІРНЕ
0100000000,0111900000,0111947900,0111947905,Щ,КУЙБИШЕВЕ
0100000000,0111900000,0111947900,0111947907,Щ,ОХОТНИЧЕ
0100000000,0111900000,0111948100,,Т,МАСАНДРА
0100000000,0111900000,0111948300,,Т,ОРЕАНДА
0100000000,0111900000,0111948500,,Т,ВІДРАДНЕ
0100000000,0111900000,0111948700,,Т,ПАРКОВЕ
0100000000,0111900000,0111948900,,Т,ПОНИЗІВКА
0100000000,0111900000,0111949100,,Т,САНАТОРНЕ
0100000000,0111900000,0111949300,,Т,СІМЕЇЗ
0100000000,0111900000,0111949300,0111949301,С,ОПОЛЗНЕВЕ
0100000000,0111900000,0111949500,,Т,СОВЄТСЬКЕ
0100000000,0111900000,0111949700,,Т,ФОРОС
0100000000,0111900000,0111949700,0111949701,Щ,ОЛИВА
0100000000,0111900000,0111970000,,,"МІСТА, ПІДПОРЯДКОВАНІ ЯЛТИНСЬКІЙ МІСЬКРАДІ"
0100000000,0111900000,0111970200,,М,АЛУПКА
0100000000,0120000000,,,,РАЙОНИ АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ
0100000000,0120400000,,,,БАХЧИСАРАЙСЬКИЙ РАЙОН/М.БАХЧИСАРАЙ
0100000000,0120400000,0120410000,,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БАХЧИСАРАЙСЬКОГО Р-НУ
0100000000,0120400000,0120410100,,М,БАХЧИСАРАЙ
0100000000,0120400000,0120445000,,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ БАХЧИСАРАЙСЬКІЙ МІСЬКРАДІ"
0100000000,0120400000,0120445100,,Т,НАУЧНИЙ
0100000000,0120400000,0120455000,,,СЕЛИЩА МІСЬКОГО ТИПУ БАХЧИСАРАЙСЬКОГО Р-НУ
0100000000,0120400000,0120455300,,Т,КУЙБИШЕВЕ
0100000000,0120400000,0120455300,0120455301,С,ВЕЛИКЕ САДОВЕ
0100000000,0120400000,0120455300,0120455302,С,ВИСОКЕ
0100000000,0120400000,0120455300,0120455303,С,МАЛЕ САДОВЕ
0100000000,0120400000,0120455300,0120455304,С,НОВОУЛЬЯНІВКА
0100000000,0120400000,0120455300,0120455305,С,ТАНКОВЕ
0100000000,0120400000,0120455600,,Т,ПОШТОВЕ
0100000000,0120400000,0120455600,0120455601,С,ЗАВІТНЕ
0100000000,0120400000,0120455600,0120455602,С,ЗУБАКІНЕ
0100000000,0120400000,0120455600,0120455603,С,КАЗАНКИ
0100000000,0120400000,0120455600,0120455604,С,МАЛИНІВКА
0100000000,0120400000,0120455600,0120455605,С,НОВОВАСИЛІВКА
0100000000,0120400000,0120455600,0120455606,С,НОВОПАВЛІВКА
0100000000,0120400000,0120455600,0120455607,С,ПРИЯТНЕ СВІДАННЯ
0100000000,0120400000,0120455600,0120455608,С,РОСТУЧЕ
0100000000,0120400000,0120455600,0120455609,С,САМОХВАЛОВЕ
0100000000,0120400000,0120455600,0120455610,С,СЕВАСТЯНІВКА
0100000000,0120400000,0120455600,0120455611,Щ,СТАЛЬНЕ
0100000000,0120400000,0120455600,0120455612,С,ТОПОЛІ
0100000000,0120400000,0120480000,,,СІЛЬРАДИ БАХЧИСАРАЙСЬКОГО Р-НУ
0100000000,0120400000,0120480400,,,АРОМАТНЕВСЬКА/С.АРОМАТНЕ
0100000000,0120400000,0120480400,0120480401,С,АРОМАТНЕ
0100000000,0120400000,0120480400,0120480402,С,ВІКТОРІВКА
0100000000,0120400000,0120480400,0120480403,С,МАЛОВИДНЕ
0100000000,0120400000,0120480400,0120480404,С,РЄПІНЕ
0100000000,0120400000,0120480400,0120480405,С,РОЗОВЕ
0100000000,0120400000,0120480800,,,ВЕРХОРІЧЕНСЬКА/С.ВЕРХОРІЧЧЯ
0100000000,0120400000,0120480800,0120480801,С,ВЕРХОРІЧЧЯ
0100000000,0120400000,0120480800,0120480802,С,БАШТАНІВКА
0100000000,0120400000,0120480800,0120480803,С,КУДРИНЕ
0100000000,0120400000,0120480800,0120480804,С,МАШИНЕ
0100000000,0120400000,0120480800,0120480806,С,ПЕРЕДУЩЕЛЬНЕ
0100000000,0120400000,0120480800,0120480807,С,СИНАПНЕ
0100000000,0120400000,0120481300,,,ВІЛІНСЬКА/С.ВІЛІНЕ
0100000000,0120400000,0120481300,0120481301,С,ВІЛІНЕ
0100000000,0120400000,0120481300,0120481302,С,РОЗСАДНЕ
0100000000,0120400000,0120481900,,,ГОЛУБИНСЬКА/С.ГОЛУБИНКА
0100000000,0120400000,0120481900,0120481901,С,ГОЛУБИНКА
0100000000,0120400000,0120481900,0120481902,С,АРОМАТ
0100000000,0120400000,0120481900,0120481903,С,БАГАТА УЩЕЛИНА
0100000000,0120400000,0120481900,0120481904,С,НИЖНЯ ГОЛУБИНКА
0100000000,0120400000,0120481900,0120481905,С,НОВОПІЛЛЯ
0100000000,0120400000,0120481900,0120481906,С,ПОЛЯНА
0100000000,0120400000,0120481900,0120481907,С,ПУТИЛІВКА
0100000000,0120400000,0120481900,0120481908,С,СОКОЛИНЕ
0100000000,0120400000,0120481900,0120481909,С,СОНЯЧНОСІЛЛЯ
0100000000,0120400000,0120482200,,,ДОЛИННЕНСЬКА/С.ДОЛИННЕ
0100000000,0120400000,0120482200,0120482201,С,ДОЛИННЕ
0100000000,0120400000,0120482200,0120482202,С,НОВЕНЬКЕ
0100000000,0120400000,0120482200,0120482203,С,ФУРМАНОВКА
0100000000,0120400000,0120482500,,,ЗАЛІЗНИЧНЕНСЬКА/С.ЗАЛІЗНИЧНЕ
0100000000,0120400000,0120482500,0120482501,С,ЗАЛІЗНИЧНЕ
0100000000,0120400000,0120482500,0120482502,С,БІЛОКАМ'ЯНЕ
0100000000,0120400000,0120482500,0120482503,С,ДАЧНЕ
0100000000,0120400000,0120482500,0120482504,С,МОСТОВЕ
0100000000,0120400000,0120482500,0120482505,С,РІЧНЕ
0100000000,0120400000,0120482500,0120482506,Щ,СИРЕНЬ
0100000000,0120400000,0120482500,0120482507,С,ТУРГЕНЄВКА
0100000000,0120400000,0120482900,,,ЗЕЛЕНІВСЬКА/С.ЗЕЛЕНЕ
0100000000,0120400000,0120482900,0120482901,С,ЗЕЛЕНЕ
0100000000,0120400000,0120482900,0120482902,С,БОГАТИР
0100000000,0120400000,0120482900,0120482903,С,МНОГОРІЧЧЯ
0100000000,0120400000,0120482900,0120482904,С,НАГІРНЕ
0100000000,0120400000,0120482900,0120482905,С,ПЛОТИННЕ
0100000000,0120400000,0120482900,0120482906,С,ЩАСЛИВЕ
0100000000,0120400000,0120483600,,,КАШТАНІВСЬКА/С.КАШТАНИ
0100000000,0120400000,0120483600,0120483601,С,КАШТАНИ
0100000000,0120400000,0120483600,0120483602,С,ВІДРАДНЕ
0100000000,0120400000,0120483600,0120483603,С,КОЧЕРГІНЕ
0100000000,0120400000,0120483600,0120483604,С,ШЕВЧЕНКОВЕ
0100000000,0120400000,0120483900,,,КРАСНОМАЦЬКА/С.КРАСНИЙ МАК
0100000000,0120400000,0120483900,0120483901,С,КРАСНИЙ МАК
0100000000,0120400000,0120483900,0120483902,С,ЗАЛІСНЕ
0100000000,0120400000,0120483900,0120483903,С,ХОЛМІВКА
0100000000,0120400000,0120483900,0120483905,С,ХОДЖА САЛА
0100000000,0120400000,0120484400,,,ПІЩАНІВСЬКА/С.ПІЩАНЕ
0100000000,0120400000,0120484400,0120484401,С,ПІЩАНЕ
0100000000,0120400000,0120484400,0120484402,С,БЕРЕГОВЕ
0100000000,0120400000,0120484600,,,ПЛОДІВСЬКА/С.ПЛОДОВЕ
0100000000,0120400000,0120484600,0120484601,С,ПЛОДОВЕ
0100000000,0120400000,0120484600,0120484602,С,БРЯНСЬКЕ
0100000000,0120400000,0120484600,0120484603,С,ГІРКА
0100000000,0120400000,0120484600,0120484604,С,ДІБРІВКА
0100000000,0120400000,0120484600,0120484605,С,ДОРОЖНЄ
0100000000,0120400000,0120485000,,,СКАЛИСТІВСЬКА/С.СКАЛИСТЕ
0100000000,0120400000,0120485000,0120485001,С,СКАЛИСТЕ
0100000000,0120400000,0120485000,0120485002,С,ГЛИБОКИЙ ЯР
0100000000,0120400000,0120485000,0120485003,С,ПРОХЛАДНЕ
0100000000,0120400000,0120485000,0120485004,С,ТРУДОЛЮБІВКА
0100000000,0120400000,0120485500,,,ТАБАЧНЕНСЬКА/С.ТАБАЧНЕ
0100000000,0120400000,0120485500,0120485501,С,ТАБАЧНЕ
0100000000,0120400000,0120486200,,,ТІНИСТІВСЬКА/С.ТІНИСТЕ
0100000000,0120400000,0120486200,0120486201,С,ТІНИСТЕ
0100000000,0120400000,0120486200,0120486202,С,АЙВОВЕ
0100000000,0120400000,0120486200,0120486203,С,КРАСНА ЗОРЯ
0100000000,0120400000,0120486200,0120486204,С,НЕКРАСОВКА
0100000000,0120400000,0120486200,0120486205,С,СУВОРОВЕ
0100000000,0120400000,0120488400,,,УГЛІВСЬКА/С.УГЛОВЕ
0100000000,0120400000,0120488400,0120488401,С,УГЛОВЕ
0100000000,0120700000,,,,БІЛОГІРСЬКИЙ РАЙОН/М.БІЛОГІРСЬК
0100000000,0120700000,0120710000,,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БІЛОГІРСЬКОГО Р-НУ
0100000000,0120700000,0120710100,,М,БІЛОГІРСЬК
0100000000,0120700000,0120755000,,,СЕЛИЩА МІСЬКОГО ТИПУ БІЛОГІРСЬКОГО Р-НУ
0100000000,0120700000,0120755300,,Т,ЗУЯ
0100000000,0120700000,0120755300,0120755301,С,БАЛАНОВЕ
0100000000,0120700000,0120755300,0120755302,С,БАРАБАНОВЕ
0100000000,0120700000,0120755300,0120755303,С,ВЕРХНІ ОРІШНИКИ
0100000000,0120700000,0120755300,0120755305,С,ВОЛОДИМИРІВКА
0100000000,0120700000,0120755300,0120755307,С,ЛИТВИНЕНКОВЕ
0100000000,0120700000,0120755300,0120755308,С,НИЖНІ ОРІШНИКИ
0100000000,0120700000,0120755300,0120755309,С,ПЕТРОВЕ
0100000000,0120700000,0120755300,0120755310,С,УКРАЇНКА
0100000000,0120700000,0120780000,,,СІЛЬРАДИ БІЛОГІРСЬКОГО Р-НУ
0100000000,0120700000,0120780400,,,АРОМАТНІВСЬКА/С.АРОМАТНЕ
0100000000,0120700000,0120780400,0120780401,С,АРОМАТНЕ
0100000000,0120700000,0120780400,0120780402,С,КРАСНОГІРСЬКЕ
0100000000,0120700000,0120780400,0120780403,С,КУРОРТНЕ
0100000000,0120700000,0120780800,,,БАГАТІВСЬКА/С.БАГАТЕ
0100000000,0120700000,0120780800,0120780801,С,БАГАТЕ
0100000000,0120700000,0120780800,0120780802,С,ГОРЛИНКА
0100000000,0120700000,0120780800,0120780803,С,КРАСНА СЛОБОДА
0100000000,0120700000,0120780800,0120780804,С,МЕЛЕХОВЕ
0100000000,0120700000,0120780800,0120780805,С,ПОВОРОТНЕ
0100000000,0120700000,0120780800,0120780806,С,РУСЬКЕ
0100000000,0120700000,0120780800,0120780807,С,ЧЕРЕМИСІВКА
0100000000,0120700000,0120781300,,,ВАСИЛІВСЬКА/С.ВАСИЛІВКА
0100000000,0120700000,0120781300,0120781301,С,ВАСИЛІВКА
0100000000,0120700000,0120781300,0120781303,С,МАЛИНІВКА
0100000000,0120700000,0120781300,0120781304,С,НЕКРАСОВЕ
0100000000,0120700000,0120781300,0120781305,С,ПАВЛІВКА
0100000000,0120700000,0120781300,0120781306,С,ПРОЛОМ
0100000000,0120700000,0120781300,0120781307,С,СЄВЕРНЕ
0100000000,0120700000,0120781900,,,ВИШЕНСЬКА/С.ВИШЕННЕ
0100000000,0120700000,0120781900,0120781901,С,ВИШЕННЕ
0100000000,0120700000,0120781900,0120781902,С,БІЛА СКЕЛЯ
0100000000,0120700000,0120781900,0120781903,С,МИРОНІВКА
0100000000,0120700000,0120782500,,,ЗЕЛЕНОГІРСЬКА/С.ЗЕЛЕНОГІРСЬКЕ
0100000000,0120700000,0120782500,0120782501,С,ЗЕЛЕНОГІРСЬКЕ
0100000000,0120700000,0120782500,0120782502,С,БАЛКИ
0100000000,0120700000,0120782500,0120782503,С,МІЖГІР'Я
0100000000,0120700000,0120782500,0120782505,С,НОВОГРИГОРІВКА
0100000000,0120700000,0120782500,0120782506,С,НОВОКЛЕНОВЕ
0100000000,0120700000,0120782500,0120782507,С,ОВРАЖКИ
0100000000,0120700000,0120782500,0120782508,С,ОЛЕКСАНДРІВКА
0100000000,0120700000,0120782500,0120782509,С,ПАСІЧНЕ
0100000000,0120700000,0120782500,0120782510,С,ПЧОЛИНЕ
0100000000,0120700000,0120782500,0120782511,С,ЯКОВЛІВКА
0100000000,0120700000,0120782700,,,ЗЕМЛЯНИЧНЕНСЬКА/С.ЗЕМЛЯНИЧНЕ
0100000000,0120700000,0120782700,0120782701,С,ЗЕМЛЯНИЧНЕ
0100000000,0120700000,0120782700,0120782702,С,ОЛЕНІВКА
0100000000,0120700000,0120782700,0120782703,С,ОПИТНЕ
0100000000,0120700000,0120782700,0120782704,С,РАДІСНЕ
0100000000,0120700000,0120782700,0120782705,С,РОДНИКИ
0100000000,0120700000,0120782700,0120782706,С,СИНЬОКАМ'ЯНКА
0100000000,0120700000,0120782700,0120782707,С,УЧЕБНЕ
0100000000,0120700000,0120782900,,,ЗИБИНСЬКА/С.ЗИБИНИ
0100000000,0120700000,0120782900,0120782901,С,ЗИБИНИ
0100000000,0120700000,0120782900,0120782902,С,МЕЛЬНИКИ
0100000000,0120700000,0120783400,,,КРИНИЧНЕНСЬКА/С.КРИНИЧНЕ
0100000000,0120700000,0120783400,0120783401,С,КРИНИЧНЕ
0100000000,0120700000,0120783400,0120783402,С,АЛЕКСЄЄВКА
0100000000,0120700000,0120783400,0120783404,С,ГОЛОВАНІВКА
0100000000,0120700000,0120783400,0120783405,С,КАРАСІВКА
0100000000,0120700000,0120783400,0120783406,С,КИРПИЧНЕ
0100000000,0120700000,0120783400,0120783407,С,КРАСНОСЕЛІВКА
0100000000,0120700000,0120783400,0120783409,С,ЯБЛУЧНЕ
0100000000,0120700000,0120783600,,,КРИМСЬКОРОЗІВСЬКА/С.КРИМСЬКА РОЗА
0100000000,0120700000,0120783600,0120783601,С,КРИМСЬКА РОЗА
0100000000,0120700000,0120783600,0120783603,С,ВИШНЕВЕ
0100000000,0120700000,0120783800,,,КУРСЬКА/С.КУРСЬКЕ
0100000000,0120700000,0120783800,0120783801,С,КУРСЬКЕ
0100000000,0120700000,0120783800,0120783802,С,ТОПОЛІВКА
0100000000,0120700000,0120784200,,,МЕЛЬНИЧНА/С.МЕЛЬНИЧНЕ
0100000000,0120700000,0120784200,0120784201,С,МЕЛЬНИЧНЕ
0100000000,0120700000,0120784200,0120784202,С,УДАРНЕ
0100000000,0120700000,0120784600,,,МІЧУРІНСЬКА/С.МІЧУРІНСЬКЕ
0100000000,0120700000,0120784600,0120784601,С,МІЧУРІНСЬКЕ
0100000000,0120700000,0120784600,0120784602,С,ЛІЧЕБНЕ
0100000000,0120700000,0120785000,,,МУРОМСЬКА/С.МУРОМСЬКЕ
0100000000,0120700000,0120785000,0120785001,С,МУРОМСЬКЕ
0100000000,0120700000,0120785000,0120785002,С,ДИВНЕ
0100000000,0120700000,0120785000,0120785003,С,КРИВЦОВЕ
0100000000,0120700000,0120785000,0120785005,С,СІННЕ
0100000000,0120700000,0120785000,0120785006,С,ХЛІБНЕ
0100000000,0120700000,0120785800,,,НОВОЖИЛІВСЬКА/С.НОВОЖИЛІВКА
0100000000,0120700000,0120785800,0120785801,С,НОВОЖИЛІВКА
0100000000,0120700000,0120785800,0120785802,С,АННІВКА
0100000000,0120700000,0120785800,0120785803,С,НОВООЛЕКСАНДРІВКА
0100000000,0120700000,0120785800,0120785804,С,ТУРГЕНЄВЕ
0100000000,0120700000,0120786300,,,РУСАКІВСЬКА/С.РУСАКІВКА
0100000000,0120700000,0120786300,0120786301,С,РУСАКІВКА
0100000000,0120700000,0120786300,0120786302,С,ЛУГОВЕ
0100000000,0120700000,0120788400,,,ЦВІТОЧНЕНСЬКА/С.ЦВІТОЧНЕ
0100000000,0120700000,0120788400,0120788401,С,ЦВІТОЧНЕ
0100000000,0120700000,0120788400,0120788402,С,ДОЛИНІВКА
0100000000,0120700000,0120788800,,,ЧОРНОПІЛЬСЬКА/С.ЧОРНОПІЛЛЯ
0100000000,0120700000,0120788800,0120788801,С,ЧОРНОПІЛЛЯ
0100000000,0120700000,0120788800,0120788802,С,ДОЗОРНЕ
0100000000,0120700000,0120788800,0120788803,С,КИЗИЛІВКА
0100000000,0120700000,0120788800,0120788804,С,УЛЬЯНОВКА
0100000000,0121100000,,,,ДЖАНКОЙСЬКИЙ РАЙОН/М.ДЖАНКОЙ
0100000000,0121100000,0121155000,,,СЕЛИЩА МІСЬКОГО ТИПУ ДЖАНКОЙСЬКОГО Р-НУ
0100000000,0121100000,0121155200,,Т,АЗОВСЬКЕ
0100000000,0121100000,0121155400,,Т,ВІЛЬНЕ
0100000000,0121100000,0121180000,,,СІЛЬРАДИ ДЖАНКОЙСЬКОГО Р-НУ
0100000000,0121100000,0121180600,,,ЄРМАКІВСЬКА/С.ЄРМАКОВЕ
0100000000,0121100000,0121180600,0121180601,С,ЄРМАКОВЕ
0100000000,0121100000,0121180600,0121180602,С,ВІТВИСТЕ
0100000000,0121100000,0121180600,0121180603,С,КОПАНІ
0100000000,0121100000,0121180600,0121180604,С,ОСТРОВСЬКЕ
0100000000,0121100000,0121180600,0121180605,С,ПРИДОРОЖНЄ
0100000000,0121100000,0121180600,0121180606,С,СОЛОНЕ ОЗЕРО
