hromada_code,hromada_center_code,hromada_type,hromada,hromada_center,oblast_name,raion_name,lat_center,lon_center,ttime,key,n_settlements,square
UA05060030000026125,UA05060030010076661,сільська,Джуринська,Джурин,Вінницька,Жмеринський,48.681271,28.292053,42.5,Вінницька Жмеринський Джуринська сільська,16,337.1
UA05060050000058111,UA05060050010030599,міська,Жмеринська,Жмеринка,Вінницька,Жмеринський,49.0354593,28.1147317,91.2,Вінницька Жмеринський Жмеринська міська,34,531.7
UA05060070000012952,UA05060070010088900,селищна,Копайгородська,Копайгород,Вінницька,Жмеринський,48.85654,27.7985,95.2,Вінницька Жмеринський Копайгородська селищна,21,307.1
UA05060090000058521,UA05060090010019738,сільська,Мурафська,Мурафа,Вінницька,Жмеринський,48.768875,28.215824,70,Вінницька Жмеринський Мурафська сільська,8,191.6
UA05060110000027268,UA05060110010047621,сільська,Северинівська,Северинівка,Вінницька,Жмеринський,49.047089,27.93755,104.3,Вінницька Жмеринський Северинівська сільська,19,223.1
UA05060130000030729,UA05060130010067161,сільська,Станіславчицька,Станіславчик,Вінницька,Жмеринський,48.97121,28.10989,90.9,Вінницька Жмеринський Станіславчицька сільська,16,301
UA05060150000094411,UA05060150010066273,міська,Шаргородська,Шаргород,Вінницька,Жмеринський,48.7498267,28.08317,79.9,Вінницька Жмеринський Шаргородська міська,32,482.1
UA05080010000038400,UA05080010010065551,сільська,Бабчинецька,Бабчинці,Вінницька,Могилів-Подільський,48.417961,28.160311,124.2,Вінницька Могилів-Подільський Бабчинецька сільська,13,207.5
UA05080030000089348,UA05080030010032391,селищна,Вендичанська,Вендичани,Вінницька,Могилів-Подільський,48.6095706,27.7881091,96.8,Вінницька Могилів-Подільський Вендичанська селищна,25,436.4
UA05080050000023603,UA05080050010069812,міська,Могилів-Подільська,Могилів-Подільський,Вінницька,Могилів-Подільський,48.442544,27.7991124,178.3,Вінницька Могилів-Подільський Могилів-Подільська міська,26,373.8
UA05080070000010150,UA05080070010075987,селищна,Мурованокуриловецька,Муровані Курилівці,Вінницька,Могилів-Подільський,48.7130055,27.5355762,137.3,Вінницька Могилів-Подільський Мурованокуриловецька селищна,50,738.8
UA05080090000089922,UA05080090010025419,селищна,Чернівецька,Чернівці,Вінницька,Могилів-Подільський,48.5406973,28.1221153,57.2,Вінницька Могилів-Подільський Чернівецька селищна,30,426
UA05080110000056824,UA05080110010069634,міська,Ямпільська,Ямпіль,Вінницька,Могилів-Подільський,48.2400683,28.2779272,55.5,Вінницька Могилів-Подільський Ямпільська міська,38,787.9
UA05080130000024964,UA05080130010068291,сільська,Яришівська,Яришів,Вінницька,Могилів-Подільський,48.512192,27.63199,147.8,Вінницька Могилів-Подільський Яришівська сільська,13,250.6
UA05100010000023453,UA05100010010062014,селищна,Брацлавська,Брацлав,Вінницька,Тульчинський,48.8268749,28.9379724,67.7,Вінницька Тульчинський Брацлавська селищна,19,260.4
UA05100030000051497,UA05100030010044215,селищна,Вапнярська,Вапнярка,Вінницька,Тульчинський,48.5312383,28.7468189,78.2,Вінницька Тульчинський Вапнярська селищна,6,112.2
UA05100050000038768,UA05100050010082768,сільська,Городківська,Городківка,Вінницька,Тульчинський,48.380028,28.67379,58.3,Вінницька Тульчинський Городківська сільська,25,463.5
UA05100070000035159,UA05100070010021695,селищна,Крижопільська,Крижопіль,Вінницька,Тульчинський,48.38568,28.86941,72.7,Вінницька Тульчинський Крижопільська селищна,19,421.9
UA05100090000029847,UA05100090010032954,селищна,Піщанська,Піщанка,Вінницька,Тульчинський,48.2077558,28.8864581,65.9,Вінницька Тульчинський Піщанська селищна,14,335.9
UA05100110000070795,UA05100110010049992,сільська,Студенянська,Студена,Вінницька,Тульчинський,48.1457286,28.8527159,90.8,Вінницька Тульчинський Студенянська сільська,15,259.4
UA05100130000061386,UA05100130010085024,селищна,Томашпільська,Томашпіль,Вінницька,Тульчинський,48.5453497,28.5114332,29.5,Вінницька Тульчинський Томашпільська селищна,28,666.6
UA05100150000050790,UA05100150010035552,міська,Тульчинська,Тульчин,Вінницька,Тульчинський,48.6730485,28.8569476,67.7,Вінницька Тульчинський Тульчинська міська,36,860.4
UA05100170000071290,UA05100170010030569,селищна,Шпиківська,Шпиків,Вінницька,Тульчинський,48.7860654,28.5647525,29.7,Вінницька Тульчинський Шпиківська селищна,27,478.9
UA05120010000076685,UA05120010010016373,селищна,Глуховецька,Глухівці,Вінницька,Хмільницький,49.77356,28.72891,0.6,Вінницька Хмільницький Глуховецька селищна,17,262.9
UA05120030000061384,UA05120030010020184,сільська,Війтівецька,Війтівці,Вінницька,Хмільницький,49.6227642,27.892957,154.4,Вінницька Хмільницький Війтівецька сільська,15,167.5
UA05120050000063063,UA05120050010068533,сільська,Іванівська,Іванів,Вінницька,Хмільницький,49.4852718,28.3424484,91.2,Вінницька Хмільницький Іванівська сільська,14,311.6
UA05120070000075759,UA05120070010068103,міська,Калинівська,Калинівка,Вінницька,Хмільницький,49.4583688,28.5262638,90.9,Вінницька Хмільницький Калинівська міська,49,844.1
UA05120090000060589,UA05120090010077573,міська,Козятинська,Козятин,Вінницька,Хмільницький,49.7195867,28.8354279,0.6,Вінницька Хмільницький Козятинська міська,16,234.5
UA05120110000018679,UA05120110010064789,сільська,Махнівська,Махнівка,Вінницька,Хмільницький,49.7207433,28.6709477,90.9,Вінницька Хмільницький Махнівська сільська,20,311.4
UA05120130000014261,UA05120130010071683,сільська,Самгородоцька,Самгородок,Вінницька,Хмільницький,49.5337018,28.8450733,1.5,Вінницька Хмільницький Самгородоцька сільська,20,323.1
