budget_code,budget_name,hromada_name,hromada_code,raion_name,raion_code,oblast_name,oblast_name_en,oblast_code,region_en,region_code_en,year,income_total,income_transfert,income_military,income_pdfo,income_unified_tax,income_property_tax,income_excise_duty,income_corporate_tax,income_parking_fee,income_tourist_fee,income_eco_tax,income_non_tax,income_capital_proceedings,income_special_funds,income_rent,income_own,own_income_prop,transfert_prop,military_tax_prop,pdfo_prop,unified_tax_prop,property_tax_prop,excise_duty_prop,corporate_tax_own_prop,parking_fee_own_prop,tourist_fee_own_prop,eco_tax_own_prop,non_tax_own_prop,capital_proceedings_own_prop,special_funds_own_prop,excise_duty_own_prop,pdfo_own_prop,unified_tax_own_prop,property_tax_own_prop,rent_own_prop,own_income_change,own_prop_change,own_income_change_net,total_income_change_net,total_income_change,own_income_no_mil_change_YoY_jan_feb,own_income_no_mil_change_YoY_mar_apr,own_income_no_mil_change_YoY_mar_may,own_income_no_mil_change_YoY_jun_aug,own_income_no_mil_change_YoY_jul_sep,own_income_no_mil_change_YoY_oct_jan,own_income_no_mil_change_YoY_oct_dec,own_income_no_mil_change_YoY_may_feb,own_income_no_mil_change_YoY_adapt,income_own_full_year,own_income_prop_full_year,recovery_month_distance,diversification_income_score,count_recovery,recovery_month_distance_2
0954000000,Бюджет Богородчанської селищної територіальної громади,Богородчанська,UA26040030000091528,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,274106779.18,132644791.74,1645975.75,87842760.4,14580475.219999999,23442058.99,6931124.26,385.7,0,24451,79089.92,4537936.2,818613.5,0,3202051.99,141461987.44,0.5161,0.4839,0.006,0.3205,0.0532,0.0855,0.0253,0,0,2e-4,6e-4,0.0321,0.0058,0,0.049,0.621,0.1031,0.1657,0.0226,NA,NA,NA,NA,NA,78.89011365495855,11.33431221776866,14.571901251388809,3.2394561006721334,9.365089522347002,-6.461562965359279,2.9002119652931757,-4.455766669352867,-1.9692226954216583,141461987.44,0.5160835053521422,0,4271.9255,5,0
0954000000,Бюджет Богородчанської селищної територіальної громади,Богородчанська,UA26040030000091528,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,310250107.73,125705007.45,21694521.98,122444042.51,16227918.2,26194469.8,5691920.59,3646,0,80316,166982.41,5264219.33,1864949.5,0,6592661.31,184545100.28000003,0.5948,0.4052,0.0699,0.3947,0.0523,0.0844,0.0183,0,0,4e-4,9e-4,0.0285,0.0101,0,0.0308,0.6635,0.0879,0.1419,0.0357,0.3,0.07869999999999999,43083112.84000003,36143328.55000001,0.13,78.89011365495855,11.33431221776866,14.571901251388809,3.2394561006721334,9.365089522347002,-6.461562965359279,2.9002119652931757,-4.455766669352867,-1.9692226954216583,184545100.28,0.5948268692967006,0,4699.5814,5,0
0952600000,Бюджет Букачівської селищної територіальної громади,Букачівська,UA26040050000080752,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,39538246.27,25049865.46,0,5150962.13,1913347.09,6609796.31,250116.04,0,0,0,932.04,379225.6,0,0,184001.6,14488380.810000002,0.3664,0.6336,0,0.1303,0.0484,0.1672,0.0063,0,0,0,1e-4,0.0262,0,0,0.0173,0.3555,0.1321,0.4562,0.0127,NA,NA,NA,NA,NA,46.76586532320055,-5.501622942263252,-1.2913848793055793,4.4057659605093,2.6975857528642067,8.927871724849679,14.643713967318671,4.427959976456641,8.199208695127458,14488380.81,0.36643964203827595,4,3529.3483999999994,3,4
0952600000,Бюджет Букачівської селищної територіальної громади,Букачівська,UA26040050000080752,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,37100247.24,20842600,0,7340702.76,2137635.87,5511535.07,225019.09,340,0,0,1774.81,921325.31,0,0,119314.33,16257647.240000002,0.4382,0.5618,0,0.1979,0.0576,0.1486,0.0061,0,0,0,1e-4,0.0567,0,0,0.0138,0.4515,0.1315,0.339,0.0073,0.12,0.07179999999999997,1769266.4299999997,-2437999.030000001,-0.06,46.76586532320055,-5.501622942263252,-1.2913848793055793,4.4057659605093,2.6975857528642067,8.927871724849679,14.643713967318671,4.427959976456641,8.199208695127458,16257647.24,0.43820859561473907,4,3394.7084000000004,3,4
0954200000,Бюджет Бурштинської міської територіальної громади,Бурштинська,UA26040070000065724,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,279898622.95,75239354.06,403292.37,81470653.06,11916864.209999999,12944546.95,15781345.870000001,9534,152.72,0,78819799.06,3570772.88,106652.8,0,38947.340000000004,204659268.89,0.7312,0.2688,0.0014,0.2911,0.0426,0.0462,0.0564,0,0,0,0.3851,0.0174,5e-4,0,0.0771,0.3981,0.0582,0.0632,2e-4,NA,NA,NA,NA,NA,12.731451516896964,-7.296572225843068,-2.4788358116653475,-7.144219972511012,0.3648922017891243,6.424673397849001,-0.5820965642655884,3.6266640463038513,7.661464427632192,204659268.89,0.7311906958776269,4,3204.1452,3,6
0954200000,Бюджет Бурштинської міської територіальної громади,Бурштинська,UA26040070000065724,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,268345297.58,53501145.28,7834187.41,100148708.95,13243496.56,18977581.86,7588630.51,270072.47,105.30000000000001,240.5,70400618.15,3039994.96,1118559.1199999999,0,56143.92,214844152.3,0.8006,0.1994,0.0292,0.3732,0.0494,0.0707,0.0283,0.0013,0,0,0.3277,0.0141,0.0052,0,0.0353,0.4661,0.0616,0.0883,3e-4,0.05,0.06940000000000002,10184883.410000026,-11553325.369999975,-0.04,12.731451516896964,-7.296572225843068,-2.4788358116653475,-7.144219972511012,0.3648922017891243,6.424673397849001,-0.5820965642655884,3.6266640463038513,7.661464427632192,214844152.29999998,0.8006257394391267,4,3377.0158,3,6
0950600000,Бюджет Більшівцівської селищної територіальної громади,Більшівцівська,UA26040010000011271,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,54773813.02,36250113.9,0,9564293.56,3629108.1,2727576.43,154105,3315,0,0,23192.899999999998,2403785.55,0,0,18322.58,18523699.120000005,0.3382,0.6618,0,0.1746,0.0663,0.0498,0.0028,2e-4,0,0,0.0013,0.1298,0,0,0.0083,0.5163,0.1959,0.1472,0.001,NA,NA,NA,NA,NA,30.87080547719303,49.33513096461088,32.58949653379346,28.340831146584698,30.263311196835296,-16.323826075019443,-23.44013072272385,4.69805413819484,-19.071819767775587,18523699.12,0.33818531335834323,0,3435.289999999999,7,4
0950600000,Бюджет Більшівцівської селищної територіальної громади,Більшівцівська,UA26040010000011271,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,53625996.75,32774393.01,1024,11153031.120000001,3720448.19,2654031.66,169842.45,6065.98,0,0,1896.55,3139277.39,0,0,7010.4,20851603.74,0.3888,0.6112,0,0.208,0.0694,0.0495,0.0032,3e-4,0,0,1e-4,0.1506,0,0,0.0081,0.5349,0.1784,0.1273,3e-4,0.13,0.05059999999999998,2327904.6199999936,-1147816.2700000033,-0.02,30.87080547719303,49.33513096461088,32.58949653379346,28.340831146584698,30.263311196835296,-16.323826075019443,-23.44013072272385,4.69805413819484,-19.071819767775587,20851603.74,0.3888338679690835,0,3568.9593000000004,7,4
0954500000,Бюджет Галицької міської територіальної громади,Галицька,UA26040090000025932,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2021,196762421.24,116330731.48,1944859.63,44255677.13,12423910.27,8454307.1,4840887.19,6466.57,0,8317.94,6168774.91,4200089,0,0,73259.65,80431689.76,0.4088,0.5912,0.0099,0.2249,0.0631,0.043,0.0246,1e-4,0,1e-4,0.0767,0.0522,0,0,0.0602,0.5502,0.1545,0.1051,9e-4,NA,NA,NA,NA,NA,23.64988057911368,-3.6782673541555067,5.122392834337441,7.933005849105723,8.944551407212131,16.994361277852676,10.327328721425255,11.688441039649344,12.622818761367638,80431689.75999999,0.40877566586708053,2,3498.6809,4,6
0954500000,Бюджет Галицької міської територіальної громади,Галицька,UA26040090000025932,Івано-Франківський,UA26040000000044761,Івано-Франківська,Ivano-Frankivsk,UA26000000000069363,West,W,2022,189075637.5,90382670.53,11274637.28,60509486.97,12042793.04,9380703.93,3355192.5700000003,588,0,8263.06,6636127.33,6693625.95,6280.46,0,59905.659999999996,98692966.97,0.522,0.478,0.0596,0.32,0.0637,0.0496,0.0177,0,0,1e-4,0.0672,0.0678,1e-4,0,0.034,0.6131,0.122,0.095,6e-4,0.23,0.11320000000000002,18261277.209999993,-7686783.74000001,-0.04,23.64988057911368,-3.6782673541555067,5.122392834337441,7.933005849105723,8.944551407212131,16.994361277852676,10.327328721425255,11.688441039649344,12.622818761367638,98692966.97,0.5219761164100266,2,4100.6930999999995,4,6
