object_name_ua,Persons,object_name_en,oblast,raion,settlement_type,settlement_name,key,hromada_name,hromada_code
смт Брацлав,4872,stlmt Bratslav,Вінницька,Тульчинський,селище міського типу,Брацлав,Вінницька Тульчинський селище міського типу Брацлав,Брацлавська,UA05100010000023453
смт Вапнярка,7165,stlmt Vapniarka,Вінницька,Тульчинський,селище міського типу,Вапнярка,Вінницька Тульчинський селище міського типу Вапнярка,Вапнярська,UA05100030000051497
смт Кирнасівка,4828,stlmt Kyrnasivka,Вінницька,Тульчинський,селище міського типу,Кирнасівка,Вінницька Тульчинський селище міського типу Кирнасівка,Тульчинська,UA05100150000050790
смт Крижопіль,8479,stlmt Kryzhopil,Вінницька,Тульчинський,селище міського типу,Крижопіль,Вінницька Тульчинський селище міського типу Крижопіль,Крижопільська,UA05100070000035159
смт Піщанка,5137,stlmt Pishchanka,Вінницька,Тульчинський,селище міського типу,Піщанка,Вінницька Тульчинський селище міського типу Піщанка,Піщанська,UA05100090000029847
смт Рудниця,1090,stlmt Rudnytsia,Вінницька,Тульчинський,селище міського типу,Рудниця,Вінницька Тульчинський селище міського типу Рудниця,Піщанська,UA05100090000029847
смт Томашпіль,5276,stlmt Tomashpil,Вінницька,Тульчинський,селище міського типу,Томашпіль,Вінницька Тульчинський селище міського типу Томашпіль,Томашпільська,UA05100130000061386
смт Шпиків,2917,stlmt Shpykiv,Вінницька,Тульчинський,селище міського типу,Шпиків,Вінницька Тульчинський селище міського типу Шпиків,Шпиківська,UA05100170000071290
м. Калинівка,18492,city Kalynivka,Вінницька,Хмільницький,місто,Калинівка,Вінницька Хмільницький місто Калинівка,Калинівська,UA05120070000075759
м. Козятин,22241,city Koziatyn,Вінницька,Хмільницький,місто,Козятин,Вінницька Хмільницький місто Козятин,Козятинська,UA05120090000060589
м. Хмільник,26916,city Khmilnyk,Вінницька,Хмільницький,місто,Хмільник,Вінницька Хмільницький місто Хмільник,Хмільницька,UA05120170000013778
смт Бродецьке,2032,stlmt Brodetske,Вінницька,Хмільницький,селище міського типу,Бродецьке,Вінницька Хмільницький селище міського типу Бродецьке,Глуховецька,UA05120010000076685
смт Глухівці,3097,stlmt Hlukhivtsi,Вінницька,Хмільницький,селище міського типу,Глухівці,Вінницька Хмільницький селище міського типу Глухівці,Глуховецька,UA05120010000076685
смт Глухівці,3097,stlmt Hlukhivtsi,Вінницька,Хмільницький,селище міського типу,Глухівці,Вінницька Хмільницький селище міського типу Глухівці,Глуховецька,UA05120010000076685
смт Залізничне,966,stlmt Zaliznychne,Вінницька,Хмільницький,селище міського типу,Залізничне,Вінницька Хмільницький селище міського типу Залізничне,Козятинська,UA05120090000060589
м. Володимир,37910,city Volodymyr            (Volodymyr-Volynskyi),Волинська,Володимир-Волинський,місто,Володимир,Волинська Володимир-Волинський місто Володимир,Володимир-Волинська,UA07020010000096841
м. Нововолинськ,49772,city Novovolynsk,Волинська,Володимир-Волинський,місто,Нововолинськ,Волинська Володимир-Волинський місто Нововолинськ,Нововолинська,UA07020130000036300
