область,назва громади,петиції,консультації,громадський бюджет,відкрита громада
Житомирська область,коростенська,1,1,1,1
Житомирська область,коростишівська,1,0,0,0
Черкаська область,корсунь-шевченківська,1,0,1,0
Івано-Франківська область,коршівська,0,1,0,0
Чернігівська область,корюківська,1,0,0,0
Івано-Франківська область,косівська,1,1,0,0
Рівненська область,костопільська,0,0,1,0
Донецька область,костянтинівська,1,1,1,0
Донецька область,краматорська,1,0,1,0
Хмельницька область,красилівська,0,0,0,1
Харківська область,краснокутська,0,0,1,0
Житомирська область,краснопільська,0,1,0,0
Одеська область,красносільська,0,0,1,0
Полтавська область,кременчуцька,0,0,0,1
Дніпропетровська область,криворізька,0,0,0,0
Вінницька область,крижопільська,1,1,0,0
Дніпропетровська область,криничанська,0,1,0,1
Кіровоградська область,кропивницька,1,1,1,0
Донецька область,курахівська,1,0,0,1
Івано-Франківська область,кутська,1,1,0,0
Тернопільська область,лановецька,1,1,1,0
Сумська область,лебединська,1,0,0,0
Хмельницька область,летичівська,1,0,0,0
Вінницька область,липовецька,1,0,0,0
Сумська область,липоводолинська,0,1,0,0
Івано-Франківська область,лисецька,1,1,0,0
Луганська область,лисичанська,1,0,0,0
Вінницька область,літинська,1,0,1,0
Дніпропетровська область,лозуватська,0,1,0,0
Полтавська область,лохвицька,1,0,0,1
Полтавська область,лубенська,1,0,1,1
Волинська область,луцька,1,1,1,1
Львівська область,львівська,1,1,0,0
Житомирська область,любарська,0,0,1,0
Волинська область,любешівська,0,1,1,0
Донецька область,мангушська,0,0,1,0
Черкаська область,маньківська,1,0,0,0
Дніпропетровська область,марганецька,1,0,1,1
Донецька область,маріупольська,1,0,0,0
Луганська область,марківська,1,1,1,0
Івано-Франківська область,матеївецька,0,1,0,0
Запорізька область,мелітопольська,1,0,0,1
Чернігівська область,менська,1,0,0,0
Харківська область,мереф’янська,1,0,1,0
Донецька область,миколаївська,0,0,1,0
Миколаївська область,миколаївська,0,0,1,0
Полтавська область,миргородська,1,1,1,1
Донецька область,мирненська,0,1,0,0
Донецька область,мирноградська,1,1,1,1
Київська область,миронівська,1,0,1,0
Луганська область,міловська,1,1,1,0
Запорізька область,молочанська,0,0,0,1
Львівська область,моршинська,1,0,0,0
Закарпатська область,мукачівська,1,0,1,0
Івано-Франківська область,надвірнянська,1,1,1,0
Київська область,немішаївська,0,0,1,1
Одеська область,нерубайська,0,0,1,0
Чернігівська область,ніжинська,1,0,0,0
Дніпропетровська область,нікопольська,1,0,1,1
Миколаївська область,новобузька,0,1,0,0
Харківська область,нововодолазька,0,0,1,0
Волинська область,нововолинська,1,0,1,0
Житомирська область,новоград-волинська,1,1,1,1
Херсонська ОДА область,новокаховська,1,0,0,0
Дніпропетровська область,новомосковська,1,1,1,1
Дніпропетровська область,новопокровська,0,1,1,0
Луганська область,новопсковська,0,1,1,1
Львівська область,новороздільська,1,1,0,0
Чернівецька область,новоселицька,1,0,0,0
Хмельницька область,новоушицька,1,1,1,0
Львівська область,новояворівська,0,0,0,1
Чернігівська область,носівська,1,0,0,0
Київська область,обухівська,1,1,1,1
Одеська область,овідіопольська,1,0,0,0
Житомирська область,олевська,0,0,1,0
Херсонська ОДА область,олешківська,0,0,1,1
Полтавська область,опішнянська,0,1,1,1
Запорізька область,оріхівська,1,0,1,1
Сумська область,охтирська,1,1,1,1
Дніпропетровська область,павлоградська,1,0,1,1
Миколаївська область,первомайська,1,0,1,0
Харківська область,первомайська,1,1,1,1
Закарпатська область,перечинська,0,0,1,1
Київська область,переяславська,1,0,1,0
Дніпропетровська область,першотравенська,1,0,0,1
Полтавська область,пирятинська,1,0,1,0
Дніпропетровська область,підгородненська,1,1,1,0
Тернопільська область,підгороднянська,1,1,1,0
Вінницька область,Погребищенська,1,0,0,0
Дніпропетровська область,покровська,1,1,0,0
Дніпропетровська область,покровська,1,0,0,0
Донецька область,покровська,1,1,1,0
Запорізька область,пологівська,1,0,1,1
Хмельницька область,полонська,1,0,0,0
Полтавська область,полтавська,0,1,1,0
Луганська область,попаснянська,1,1,1,1
Миколаївська область,привільненська,1,0,0,0
Рівненська область,привільненська,1,0,1,0
Запорізька область,приморська,1,0,1,1
Львівська область,пустомитівська,1,0,0,1
Львівська область,рава-руська,0,0,1,0
Рівненська область,радивилівська,1,1,0,0
Закарпатська область,рахівська,1,0,0,0
Рівненська область,рівненська,1,1,1,0
Чернігівська область,ріпкинська,0,0,1,0
Харківська область,роганська,0,1,1,1
Рівненська область,рокитнівська,0,1,0,1
Сумська область,роменська,1,0,0,0
Луганська область,рубіжанська,1,0,0,0
Львівська область,рудківська,0,0,1,0
Львівська область,самбірська,1,0,0,1
Рівненська область,сарненська,1,0,1,1
Кіровоградська область,світловодська,1,0,1,0
Полтавська область,Сенчанська,0,1,0,0
Луганська область,сєвєродонецька,1,0,1,0
Дніпропетровська область,синельниківська,1,0,1,0
Донецька область,сіверська,0,0,1,0
Херсонська ОДА область,скадовська,0,0,1,1
Київська область,сквирська,1,0,1,0
Львівська область,сколівська,0,0,1,0
Львівська область,славська,0,0,1,0
Київська область,славутицька,1,0,0,0
Хмельницька область,славутська,1,1,1,1
Дніпропетровська область,слобожанська,1,1,0,1
Донецька область,слов’янська,1,1,1,1
Волинська область,смідинська,1,1,0,0
Львівська область,сокільницька,0,0,1,0
Донецька область,соледарська,1,0,0,0
Львівська область,солонківська,0,0,1,0
Дніпропетровська область,солонянська,0,1,1,0
Івано-Франківська область,солотвинська,1,1,0,0
Чернігівська область,сосницька,1,0,0,0
Луганська область,старобільська,1,1,1,0
Хмельницька область,старокостянтинівська,1,0,0,0
Сумська область,степанівська,0,0,1,0
Львівська область,стрийська,1,0,0,0
Одеська область,Суворовська,0,1,0,0
Сумська область,сумська,1,1,0,1
Вінницька область,Сутисківська,1,1,0,0
Чернігівська область,талалаївська,0,0,1,0
Одеська область,теплодарська,1,1,0,0
Тернопільська область,теребовлянська,1,0,0,0
Полтавська область,терешківська,1,0,1,0
Дніпропетровська область,тернівська,1,0,0,1
Тернопільська область,тернопільська,1,1,1,1
Київська область,тетіївська,1,0,0,0
Запорізька область,токмацька,0,0,1,0
Донецька область,торецька,1,1,1,0
Луганська область,троїцька,0,0,1,0
Сумська область,тростянецька,1,1,0,1
Львівська область,трускавецька,1,0,1,1
Вінницька область,тульчинська,0,0,1,0
Закарпатська область,тячівська,0,0,1,0
Закарпатська область,ужгородська,1,1,1,1
Київська область,українська,1,0,0,0
Черкаська область,уманська,1,0,1,0
Київська область,фастівська,1,0,1,0
Донецька область,харцизька,1,0,0,0
Херсонська ОДА область,херсонська,1,1,0,0
Хмельницька область,хмельницька,1,1,1,1
Вінницька область,хмільницька,1,1,0,1
Тернопільська область,хоростківська,1,0,1,0
Херсонська ОДА область,хрестівська,0,1,0,0
Львівська область,червоноградська,0,1,0,0
Черкаська область,черкаська,0,0,0,1
Чернівецька область,чернівецька,1,0,0,1
Чернігівська область,чернігівська,1,0,0,1
Закарпатська область,чопська,0,0,0,1
Одеська область,чорноморська,1,0,0,0
Тернопільська область,чортківська,1,1,1,1
Харківська область,чугуївська,0,0,1,0
Волинська область,шацька,0,1,0,0
Хмельницька область,шепетівська,1,0,1,1
Запорізька область,широківська,1,0,1,0
Сумська область,шосткинська,1,0,0,0
Рівненська область,шпанівська,0,0,1,0
Тернопільська область,шумська,0,0,1,0
Луганська область,щастинська,0,0,1,0
Одеська область,южненська,1,1,0,1
Львівська область,яворівська,1,0,0,1
Вінницька область,якушинецька,1,0,0,0
Івано-Франківська область,яремчанська,0,0,1,0
