Hromada_category,Region,Raion,Hromada,Hromada_code,Main_council_code,Council_codes_v1,Decision_date_v1,Council_codes_v2,Decision_date_v2,Council_codes_v3,Decision_date_v3,Council_codes_v4,Decision_date_v4,Council_codes_v5,Decision_date_v5,Council_codes_final,voluntary_amalgamation
Збільшилися,Чернівецька область,Чернівецький район,Ставчанська сільська громада,UA73060470000040033,7322588000,"7322585500,7322588000",2018-10-14,"7322585500,7322588000,7322588700,7322589500,7322589700",2020-08-16,,,,,,,"7322585500,7322588000,7322588700,7322589500,7322589700",1
Збільшилися,Чернівецька область,Чернівецький район,Новоселицька міська громада,UA73060410000077092,7323010100,"7323084700,7323010100,7323086700,7323085900,7323087100,7323087900",2017-10-15,"7323082400,7323083200,7323084700,7323010100,7323086700,7323085900,7323087100,7323087900",2018-07-30,"7323080600,7323081600,7323081800,7323084000,7323082400,7323083200,7323084700,7323010100,7323086700,7323085900,7323087100,7323087900",2020-08-16,,,,,"7323080600,7323081600,7323081800,7323084000,7323082400,7323083200,7323084700,7323010100,7323086700,7323085900,7323087100,7323087900",1
Збільшилися,Чернівецька область,Чернівецький район,Ванчиковецька сільська громада,UA73060030000078843,7323081200,"7323081200,7323082800,7323089300",2019-04-21,"7323081200,7323082800,7323089300,7323082200,7323088300,7323089000,7323089900",2020-08-16,,,,,,,"7323081200,7323082800,7323089300,7323082200,7323088300,7323089000,7323089900",1
Збільшилися,Чернівецька область,Вижницький район,Усть-Путильська сільська громада,UA73020170000016631,7323585500,"7323582500,7323585500",2015-08-16,"7323583500,7323584000,7323582500,7323585500",2020-08-16,,,,,,,"7323583500,7323584000,7323582500,7323585500",1
Збільшилися,Чернівецька область,Дністровський район,Сокирянська міська громада,UA73040170000011490,7324010100,"7324010100,7324084500",2015-08-16,"7324081000,7324085500,7324086500,7324081500,7324082500,7324083000,7324083500,7324084000,7324085000,7324085200,7324085600,7324086000,7324087500,7324080500,7324088000,7324088500,7324089000,7324010100,7324084500,7324089500",2020-08-16,,,,,,,"7324081000,7324085500,7324086500,7324081500,7324082500,7324083000,7324083500,7324084000,7324085000,7324085200,7324085600,7324086000,7324087500,7324080500,7324088000,7324088500,7324089000,7324010100,7324084500,7324089500",1
Збільшилися,Чернівецька область,Чернівецький район,Сторожинецька міська громада,UA73060490000033679,7324510100,"7324580500,7324581000,7324583000,7324583200,7324585000,7324585500,7324587500,7324584500,7324588300,7324510100",2016-10-09,"7324589500,7324580500,7324581000,7324583000,7324583200,7324585000,7324585500,7324587500,7324584500,7324588300,7324510100",2017-07-20,"7324588000,7324589500,7324580500,7324581000,7324583000,7324583200,7324585000,7324585500,7324587500,7324584500,7324588300,7324510100",2020-08-16,,,,,"7324588000,7324589500,7324580500,7324581000,7324583000,7324583200,7324585000,7324585500,7324587500,7324584500,7324588300,7324510100",1
Збільшилися,Чернівецька область,Чернівецький район,Чудейська сільська громада,UA73060630000091311,7324586000,"7324583500,7324586000",2016-10-02,"7324581500,7324589800,7324583500,7324586000",2020-08-16,,,,,,,"7324581500,7324589800,7324583500,7324586000",1
Збільшилися,Чернівецька область,Дністровський район,Хотинська міська громада,UA73040190000062796,7325010100,"7325082000,7325080900,7325081600,7325010100",2018-10-14,"7325080200,7325080400,7325082800,7325084400,7325084800,7325086000,7325082000,7325080900,7325081600,7325010100,7325089600",2020-08-16,,,,,,,"7325080200,7325080400,7325082800,7325084400,7325084800,7325086000,7325082000,7325080900,7325081600,7325010100,7325089600",1
Збільшилися,Чернівецька область,Дністровський район,Клішковецька сільська громада,UA73040050000080963,7325083600,"7325083600,7325086600",2015-08-16,"7325083600,7325086600,7325085200,7325086400,7325088000,7325088400,7325089100",2020-08-16,,,,,,,"7325083600,7325086600,7325085200,7325086400,7325088000,7325088400,7325089100",1
Збільшилися,Чернівецька область,Дністровський район,Недобоївська сільська громада,UA73040110000040354,7325085600,"7325082400,7325083200,7325085600,7325088800",2015-08-16,"7325082600,7325082400,7325083200,7325085600,7325088800,7325089200",2020-08-16,,,,,,,"7325082600,7325082400,7325083200,7325085600,7325088800,7325089200",1
