hromada_code,hromada_name,year,budget_planned,budget_executed,budget_executed_2015
UA65100050000017921,Виноградівська,2019,6376.449,6033.024,3747.2198757763977
UA65100050000017921,Виноградівська,2020,801.385,801.385,479.87125748502996
UA65100070000064512,Дар’ївська,2017,1346.108,1297.015,1045.9798387096776
UA65100090000097337,Музиківська,2017,2000,1993.222,1607.4370967741936
UA65100090000097337,Музиківська,2018,7859,3929.164,2584.9763157894736
UA65100090000097337,Музиківська,2019,9743.532,8259.027,5129.830434782609
UA65100090000097337,Музиківська,2020,15587.304,15587.047,9333.561077844312
UA65100110000015344,Олешківська,2017,5481.866,5168.012,4167.751612903226
UA65100110000015344,Олешківська,2018,313.854,237.312,156.1263157894737
UA65100110000015344,Олешківська,2019,2400,1150.296,714.4695652173913
UA65100110000015344,Олешківська,2020,6059.75,5540.698,3317.7832335329344
UA65100130000084882,Станіславська,2017,897.841,884.364,713.1967741935484
UA65100150000057191,Херсонська,2015,138982.436,73489.12000000001,73489.12000000001
UA65100150000057191,Херсонська,2016,125204.091,118891.22579,109074.51907339449
UA65100150000057191,Херсонська,2017,131408.992,128881.698,103936.85322580645
UA65100150000057191,Херсонська,2018,226256.282,157644.424,103713.43684210526
UA65100150000057191,Херсонська,2019,211823.076,91709.918,56962.68198757764
UA65100150000057191,Херсонська,2020,97432.08,83408.61,49945.2754491018
UA65100150000057191,Херсонська,2021,104516.57,103571.252,52574.23959390863
UA65100170000014054,Чорнобаївська,2015,1107,1107,1107
UA65100170000014054,Чорнобаївська,2016,555.126,541.49231,496.7819357798165
UA65100170000014054,Чорнобаївська,2017,1172.563,1172.563,945.6153225806453
UA65100170000014054,Чорнобаївська,2018,5238.2119999999995,3899.218,2565.275
UA65100170000014054,Чорнобаївська,2019,11261.074,6261.0740000000005,3888.8658385093167
UA65100170000014054,Чорнобаївська,2020,17843.904000000002,16045.747,9608.231736526946
UA65100170000014054,Чорнобаївська,2021,17968.745,17567.904000000002,8917.717766497462
UA65100190000073217,Ювілейна,2016,337.194,323.26616,296.57445871559634
UA68020010000017180,Гуківська,2019,3000,3000,1863.3540372670807
UA68020010000017180,Гуківська,2020,4700.15,4700.15,2814.461077844311
UA68020030000032574,Гуменецька,2015,1521.8000000000002,1487.6399999999999,1487.6399999999999
UA68020030000032574,Гуменецька,2017,982.36,982.36,792.2258064516129
UA68020030000032574,Гуменецька,2018,2093.498,0,0
UA68020050000040518,Дунаєвецька,2015,16317.92,15817.458,15817.458
